epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.658,2.16759,5.92266,1.94832,0.00377,0.29732,0.08484,0.04025,1.6265,6.04943,1.6496,0.000251307,0.000251307,0.000251307
2,556.666,1.57031,3.74276,1.50288,0.01463,0.92988,0.25313,0.11237,1.56094,4.9851,1.59803,0.000497589,0.000497589,0.000497589
3,834.336,1.47432,3.23666,1.4454,0.22476,0.60043,0.27565,0.14821,1.45933,4.24569,1.45552,0.00073372,0.00073372,0.00073372
4,1106.77,1.38517,2.82409,1.33059,0.2782,0.38256,0.26072,0.15182,1.36069,3.9679,1.32978,0.000723321,0.000723321,0.000723321
5,1386.64,1.34009,2.57677,1.3232,0.28653,0.75315,0.33515,0.21874,1.24711,3.11769,1.36467,0.000708095,0.000708095,0.000708095
6,1664.12,1.29402,2.37845,1.29713,0.31048,0.70663,0.33447,0.21808,1.23582,3.05018,1.24161,0.000692869,0.000692869,0.000692869
7,1942.48,1.25501,2.2529,1.26404,0.28342,0.87075,0.34255,0.22541,1.19041,2.67753,1.25207,0.000677643,0.000677643,0.000677643
8,2224.4,1.27333,2.2112,1.25433,0.30402,0.80077,0.36433,0.23879,1.15354,2.42586,1.2792,0.000662417,0.000662417,0.000662417
9,2499.65,1.25334,2.07311,1.23355,0.29854,0.83049,0.35021,0.23537,1.19469,2.39464,1.18079,0.00064719,0.00064719,0.00064719
10,2761.44,1.20126,1.94702,1.21705,0.30793,0.86703,0.36747,0.24806,1.14035,2.22326,1.15025,0.000631964,0.000631964,0.000631964
11,3033.44,1.16221,1.89985,1.16649,0.2987,0.8986,0.36589,0.24471,1.12502,2.07118,1.17116,0.000616738,0.000616738,0.000616738
12,3309.93,1.21367,1.8757,1.1992,0.33301,0.8019,0.41697,0.28299,1.08577,1.95331,1.12831,0.000601512,0.000601512,0.000601512
13,3587.92,1.14632,1.7846,1.17136,0.31786,0.79142,0.38342,0.26841,1.10612,1.90119,1.13777,0.000586286,0.000586286,0.000586286
14,3865.21,1.13227,1.72797,1.17278,0.3186,0.85157,0.3968,0.27929,1.06245,1.83383,1.13907,0.000571059,0.000571059,0.000571059
15,4140.83,1.19927,1.69034,1.20838,0.30652,0.86398,0.39546,0.28546,1.00265,1.88293,1.08602,0.000555833,0.000555833,0.000555833
16,4414.39,1.15413,1.68336,1.16015,0.30687,0.81264,0.42738,0.30521,1.04653,1.89253,1.09227,0.000540607,0.000540607,0.000540607
17,4689.58,1.15344,1.64754,1.14734,0.38412,0.77352,0.46733,0.33749,1.00457,1.68754,1.08416,0.000525381,0.000525381,0.000525381
18,4978.12,1.08523,1.5774,1.12935,0.36341,0.84835,0.47799,0.34617,0.99008,1.60686,1.05428,0.000510155,0.000510155,0.000510155
19,5254.54,1.09626,1.55964,1.12981,0.38065,0.7929,0.497,0.36912,0.98317,1.57616,1.06548,0.000494928,0.000494928,0.000494928
20,5523.36,1.07545,1.52163,1.11565,0.3346,0.87472,0.46657,0.3499,0.98375,1.61713,1.03733,0.000479702,0.000479702,0.000479702
21,5803.04,1.03053,1.53573,1.08676,0.36995,0.81338,0.50562,0.38295,0.95487,1.50262,1.03006,0.000464476,0.000464476,0.000464476
22,6079.1,1.01282,1.4469,1.07558,0.44894,0.80663,0.54967,0.41736,0.92956,1.41065,1.00368,0.00044925,0.00044925,0.00044925
23,6359.64,1.01275,1.45798,1.07805,0.41979,0.75855,0.565,0.42279,0.91818,1.50563,1.00321,0.000434024,0.000434024,0.000434024
24,6640.24,1.04399,1.47073,1.09325,0.40535,0.76371,0.54115,0.42169,0.90228,1.68882,1.01964,0.000418797,0.000418797,0.000418797
25,6931.89,0.99213,1.43601,1.07026,0.41575,0.79066,0.56249,0.4337,0.90067,1.36308,0.98852,0.000403571,0.000403571,0.000403571
26,7206.38,1.02241,1.41027,1.07318,0.46359,0.79364,0.59231,0.44997,0.90881,1.34115,1.00937,0.000388345,0.000388345,0.000388345
